,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_0689,0.5311275,0.42498177,0.52125263,0.46649212,0.2802609,0.6477866,0.63966125,0.9005731,0.61239535,0.44181702,0.5403035,0.3572265,0.42782208,0.47943223,0.27498493,0.30494007,0.26573431,0.015600704,0.6058525,0.9697902,0.3076937,0.22000471,1.1648072,0.45790526
sample_0690,0.47978392,0.39496407,0.41826314,0.4644551,0.28952232,0.5506927,0.67177093,0.8386104,0.61394644,0.42982304,0.39824587,0.3600574,0.4278255,0.47962567,0.26274204,0.30495355,0.27349892,0.014634728,0.60462075,0.6984381,0.30287158,0.25764614,0.7624442,0.33094215
sample_0691,0.5649124,0.57093215,0.562111,0.4618322,0.2371181,0.7397499,0.6185798,0.97026956,0.6107701,0.45833838,0.6408298,0.35478944,0.4278193,0.47941363,0.28482133,0.3049065,0.25729164,0.012338111,0.60800767,1.2023196,0.3114826,0.19693935,1.7201463,0.550899
sample_0692,0.46805948,0.31148335,0.3857332,0.46517804,0.2936782,0.5236633,0.70520884,0.81022793,0.61461717,0.41938418,0.27410308,0.361841,0.427826,0.48010516,0.25120783,0.30496082,0.27339843,0.0028143518,0.6040663,0.46719664,0.29936668,0.29673254,0.3553646,0.22469345
sample_0693,0.4686817,0.3163284,0.3886701,0.46452215,0.2934662,0.5253793,0.6823814,0.8354086,0.614559,0.42021877,0.2910921,0.36164334,0.42782596,0.4800121,0.2526559,0.30496046,0.2733984,0.0039668647,0.60408616,0.5512351,0.2998022,0.28965294,0.431315,0.23945698
sample_0694,0.49562472,0.3757093,0.45907894,0.46461806,0.28951386,0.58346695,0.66990227,0.8630816,0.6136147,0.43436173,0.4344517,0.35945126,0.42782363,0.47954923,0.26395023,0.3049468,0.27339512,0.011681171,0.604776,0.7228657,0.3039348,0.24780804,0.892567,0.3635324
sample_0695,0.46829605,0.34884495,0.38823217,0.46516347,0.29288116,0.52443486,0.6935145,0.81564075,0.61459374,0.41971594,0.2818457,0.36174503,0.42782593,0.4800631,0.2520972,0.30496082,0.27339935,0.0069111786,0.6040662,0.5091816,0.29958928,0.29359955,0.40338463,0.23096263
sample_0696,0.6584373,0.5205796,0.6164937,0.46569902,0.25866327,0.93771684,0.6081799,0.8757984,0.6088106,0.47021157,0.7309248,0.35252428,0.42781743,0.47945064,0.2921409,0.3048009,0.25000018,0.011151972,0.6110662,1.3548486,0.31472528,0.1779533,1.9883602,0.6398684
sample_0697,0.5032261,0.36594555,0.4455127,0.46392423,0.29015073,0.5910111,0.66800666,0.84597045,0.61352384,0.43592694,0.4425726,0.3593252,0.4278234,0.4795343,0.2703482,0.3049457,0.27357888,0.012775984,0.6052304,0.7359561,0.30413374,0.2453016,0.8251208,0.37173614
sample_0698,0.4679028,0.2976205,0.3859831,0.4652251,0.29399407,0.523643,0.7110956,0.809428,0.61462843,0.4192601,0.27010378,0.36189002,0.42782605,0.48012757,0.25157338,0.30496094,0.27343377,0.014159977,0.6040584,0.4467642,0.2992503,0.2982915,0.3562317,0.22154826
sample_0699,0.46903858,0.43041515,0.39145207,0.46616474,0.29099682,0.5275763,0.66026753,0.8355785,0.6144934,0.4221382,0.30898255,0.36139664,0.42782602,0.47992885,0.2545759,0.3049598,0.27342784,0.015487537,0.6041177,0.65770394,0.300337,0.28309214,0.47797167,0.25408778
sample_0700,0.55142266,0.5430994,0.53335273,0.46335527,0.25279194,0.7134198,0.6286711,0.9339228,0.6115684,0.4526202,0.595408,0.35592163,0.4278219,0.47941315,0.28375423,0.30492777,0.25067413,0.020066682,0.6072169,1.085908,0.3097785,0.206844,1.4629875,0.5081993
sample_0701,0.48629797,0.52862924,0.4239034,0.4639052,0.26442656,0.5855639,0.6453531,0.8913552,0.6133503,0.43833363,0.46862465,0.35862827,0.4278244,0.4795031,0.26890466,0.30495045,0.23670569,0.0045393365,0.60461766,0.9017242,0.30548337,0.2364434,1.0873902,0.39075062
sample_0702,0.4867263,0.36731404,0.43416214,0.4651388,0.29021344,0.5637338,0.68277407,0.8409504,0.61397684,0.43069774,0.39278483,0.36017996,0.4278246,0.47963667,0.25898713,0.30495107,0.27383572,0.014014762,0.6048323,0.6380681,0.30263254,0.26034725,0.6698098,0.3261893
sample_0703,0.4902812,0.3458155,0.4563422,0.46450934,0.29059082,0.58441985,0.67156416,0.8519531,0.61365896,0.43858254,0.42819214,0.35959807,0.42782462,0.47955897,0.2671327,0.3049482,0.27342033,0.011651363,0.604532,0.70967364,0.30364746,0.24917439,0.866829,0.35928765
sample_0704,0.467445,0.29287302,0.3829749,0.4653975,0.29408982,0.5217359,0.7347233,0.8033672,0.6146797,0.41830114,0.2524565,0.3620694,0.42782608,0.48024225,0.25100356,0.30496132,0.27339727,0.00905279,0.6040423,0.37744316,0.298834,0.305588,0.2976805,0.20642528
sample_0705,0.46800172,0.29277515,0.38564986,0.46508527,0.29409745,0.52401173,0.70896715,0.8089331,0.61462176,0.41940534,0.27201754,0.36187232,0.42782596,0.4801154,0.25208482,0.304961,0.2734018,0.010839161,0.6040547,0.45324346,0.29928774,0.297377,0.3440717,0.22338718
sample_0706,0.48612484,0.3240759,0.43331867,0.46560842,0.2915103,0.5623502,0.6721907,0.8458819,0.6137385,0.43150657,0.419172,0.35976627,0.42782435,0.47957587,0.2645208,0.30495015,0.2738762,0.0010030284,0.60487425,0.70211387,0.30333897,0.25144294,0.8333075,0.35177967
sample_0707,0.4682169,0.3283376,0.38621348,0.46580923,0.2929918,0.52418965,0.6950468,0.817217,0.61459535,0.4189842,0.28116804,0.36175564,0.42782605,0.48006624,0.255844,0.3049608,0.27340263,0.014428249,0.6040731,0.5036334,0.29956293,0.2938485,0.34833083,0.2305196
sample_0708,0.46818602,0.33791968,0.38679287,0.46474224,0.29303473,0.52388686,0.6969628,0.8134985,0.61460364,0.42000785,0.2788676,0.36177975,0.42782605,0.4800797,0.25193176,0.3049608,0.27340353,0.0124302525,0.60408247,0.49556985,0.2995125,0.2947912,0.38378835,0.22841233
sample_0709,0.4675256,0.30022025,0.3836851,0.465228,0.29404217,0.5219843,0.72849286,0.80284464,0.6146684,0.41833535,0.2565926,0.36202848,0.42782605,0.480214,0.2509346,0.30496126,0.2733974,0.008941127,0.6040462,0.39381418,0.29893094,0.3039726,0.3197447,0.20989057
sample_0710,0.4691147,0.5342356,0.39028922,0.46521157,0.28944054,0.5281261,0.6603016,0.83827394,0.6145224,0.42007986,0.30499482,0.36140627,0.42782605,0.47995564,0.25426096,0.30496013,0.21991886,0.0058585517,0.6041141,0.6614152,0.30037233,0.28431556,0.49088514,0.24869224
