,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_1391,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1392,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1393,0.114013486,0.0792085,0.09553411,0.23686823,0.06997943,0.11918164,0.13342261,0.20679063,0.101589374,0.16476513,0.122270204,0.024594054,0.630465,0.21691447,0.03166502,0.102355376,0.30018684,0.0026774677,0.24999304,0.1603482,0.29738334,0.12295821,0.39613256,0.22219972
sample_1394,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1395,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1396,0.041118905,0.0811163,0.12758163,0.23958588,0.019144233,0.15911263,0.13361673,0.20863372,0.102552384,0.1656046,0.121437676,0.02482758,0.1030919,0.21823166,0.0202803,0.073533736,0.2997888,0.0042551667,0.2528181,0.15840103,0.29721493,0.12338812,0.38423818,0.22312471
sample_1397,0.052774772,0.08151285,0.1276912,0.23936346,0.018382879,0.16332296,0.1336425,0.20883231,0.10266391,0.16564745,0.12134824,0.024851287,0.064818166,0.21838169,0.019359728,0.092932455,0.2990679,0.0105876485,0.2530977,0.15816467,0.29719958,0.12341906,0.38333905,0.22322506
sample_1398,0.04457263,0.080822915,0.11312015,0.2383495,0.025584068,0.13252956,0.13352522,0.20773421,0.102079496,0.16530214,0.12183651,0.024718763,0.32463324,0.2175912,0.024707325,0.01075016,0.30010384,0.0023007924,0.25234985,0.15931275,0.29729196,0.1231851,0.38870022,0.22267392
sample_1399,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1400,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1401,0.040968508,0.07762633,0.10904959,0.23926958,0.07980527,0.117399454,0.13348392,0.20779794,0.101972826,0.16507623,0.12194975,0.024679484,0.37963825,0.2174283,0.026230846,0.045150056,0.3006395,0.002606037,0.25142393,0.15971361,0.29732192,0.12314625,0.3891288,0.22257222
sample_1402,0.052551065,0.08136641,0.12790638,0.23956372,0.019495372,0.16413261,0.13363974,0.20879969,0.10265656,0.16564158,0.1213538,0.024849765,0.06590975,0.2183716,0.019425154,0.090077996,0.29918593,0.00974177,0.25307164,0.15818708,0.29720035,0.12342025,0.3836175,0.2232195
sample_1403,0.0008926913,0.08017543,0.11581828,0.2389683,0.041306622,0.13333523,0.13355623,0.20805062,0.10226958,0.165395,0.12168528,0.024757206,0.29874197,0.21784241,0.022563828,0.01941,0.2998594,0.0036841305,0.25196823,0.1590078,0.29726595,0.123262376,0.3883825,0.2228527
sample_1404,0.019748338,0.080153115,0.11698376,0.23870905,0.037265368,0.132977,0.13354345,0.2078636,0.10220036,0.16550033,0.12174391,0.02474121,0.29009938,0.21774873,0.021843433,0.013428785,0.29985657,0.006340969,0.25188684,0.15913704,0.29727742,0.123230845,0.38629347,0.22278611
sample_1405,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1406,0.02651918,0.08065518,0.12258084,0.23912811,0.02878673,0.14932804,0.13360375,0.20846216,0.10249345,0.16556445,0.121498115,0.024808414,0.16135368,0.21814632,0.020336544,0.06068462,0.29922202,0.009504374,0.25267294,0.15854988,0.29723066,0.123344764,0.38449645,0.22306146
sample_1407,0.048118595,0.08132565,0.1269973,0.23959444,0.01881207,0.1620137,0.13363533,0.20875923,0.10263725,0.16562082,0.12136931,0.024845663,0.06983513,0.21834566,0.019328889,0.08488077,0.29930288,0.0093069505,0.2530401,0.1582278,0.297203,0.12341457,0.38373986,0.223202
sample_1408,0.00047074258,0.08021982,0.1178548,0.23952316,0.031172367,0.14311443,0.13355993,0.20809628,0.10229233,0.16534829,0.12165744,0.024766743,0.2509047,0.21787705,0.019953644,0.016991608,0.3005542,0.0019977754,0.25208673,0.1589504,0.2972572,0.12329088,0.3867886,0.2228815
sample_1409,0.043898094,0.08109223,0.12615964,0.23958942,0.024050556,0.16005439,0.13362472,0.20866285,0.10259145,0.16557795,0.121409394,0.02483423,0.095515825,0.21828246,0.01996268,0.083536714,0.29936266,0.008256561,0.2528712,0.1583325,0.29721123,0.12339525,0.38378495,0.22315826
sample_1410,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1411,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1412,0.047279596,0.081422165,0.1271215,0.23940365,0.018967692,0.1608242,0.13363378,0.20875251,0.102625586,0.16565396,0.12137941,0.024842953,0.0788644,0.21833001,0.019687327,0.08259751,0.2992131,0.009529153,0.25302798,0.15824611,0.2972051,0.12340704,0.38392684,0.22319001
sample_1413,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1414,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1415,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_1416,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
